"pr","zo","period","startweek","endweek"
"AB",1,1,1,6
"AB",1,2,7,7
"AB",1,3,8,8
"AB",1,4,9,9
"AB",1,5,10,10
"AB",1,6,11,11
"AB",1,7,12,12
"AB",1,8,13,13
"AB",1,9,14,28
"AB",2,1,1,6
"AB",2,2,7,7
"AB",2,3,8,8
"AB",2,4,9,9
"AB",2,5,10,10
"AB",2,6,11,11
"AB",2,7,12,12
"AB",2,8,13,13
"AB",2,9,14,28
"BC",1,1,1,7
"BC",1,2,8,8
"BC",1,3,9,9
"BC",1,4,10,10
"BC",1,5,11,11
"BC",1,6,12,12
"BC",1,7,13,13
"BC",1,8,14,14
"BC",1,9,15,15
"BC",1,10,16,17
"BC",1,11,18,28
"BC",2,1,1,9
"BC",2,2,10,10
"BC",2,3,11,11
"BC",2,4,12,12
"BC",2,5,13,13
"BC",2,6,14,14
"BC",2,7,15,15
"BC",2,8,16,16
"BC",2,9,17,17
"BC",2,10,18,18
"BC",2,11,19,19
"BC",2,12,20,21
"BC",2,13,22,30
"MB",1,1,1,7
"MB",1,2,8,8
"MB",1,3,9,9
"MB",1,4,10,10
"MB",1,5,11,11
"MB",1,6,12,12
"MB",1,7,13,13
"MB",1,8,14,30
"MB",2,1,1,4
"MB",2,2,5,5
"MB",2,3,6,6
"MB",2,4,7,7
"MB",2,5,8,8
"MB",2,6,9,9
"MB",2,7,10,10
"MB",2,8,11,25
"NB",1,1,1,9
"NB",1,2,10,10
"NB",1,3,11,11
"NB",1,4,12,12
"NB",1,5,13,14
"NB",1,6,15,16
"NB",1,7,17,31
"NB",2,1,1,7
"NB",2,2,8,8
"NB",2,3,9,9
"NB",2,4,10,10
"NB",2,5,11,11
"NB",2,6,12,24
"NF",1,1,1,8
"NF",1,2,9,9
"NF",1,3,10,10
"NF",1,4,11,11
"NF",1,5,12,12
"NF",1,6,13,14
"NF",1,7,15,16
"NF",1,8,17,18
"NF",1,9,19,20
"NF",1,10,21,23
"NF",1,11,24,35
"NF",2,1,1,5
"NF",2,2,6,6
"NF",2,3,7,7
"NF",2,4,8,8
"NF",2,5,9,9
"NF",2,6,10,10
"NF",2,7,11,11
"NF",2,8,12,13
"NF",2,9,14,22
"NF",2,10,23,30
"NS",1,1,1,10
"NS",1,2,11,11
"NS",1,3,12,12
"NS",1,4,13,13
"NS",1,5,14,15
"NS",1,6,16,17
"NS",1,7,18,19
"NS",1,8,20,21
"NS",1,9,22,31
"NS",2,1,1,8
"NS",2,2,9,9
"NS",2,3,10,10
"NS",2,4,11,11
"NS",2,5,12,12
"NS",2,6,13,14
"NS",2,7,15,16
"NS",2,8,17,18
"NS",2,9,19,27
"ON",1,1,1,8
"ON",1,2,9,9
"ON",1,3,10,10
"ON",1,4,11,11
"ON",1,5,12,12
"ON",1,6,13,13
"ON",1,7,14,14
"ON",1,8,15,15
"ON",1,9,16,16
"ON",1,10,17,17
"ON",1,11,18,32
"ON",2,1,1,9
"ON",2,2,10,10
"ON",2,3,11,11
"ON",2,4,12,12
"ON",2,5,13,13
"ON",2,6,14,14
"ON",2,7,15,16
"ON",2,8,17,35
"ON",3,1,1,7
"ON",3,2,8,8
"ON",3,3,9,9
"ON",3,4,10,10
"ON",3,5,11,11
"ON",3,6,12,12
"ON",3,7,13,13
"ON",3,8,14,31
"PE",1,1,1,7
"PE",1,2,8,8
"PE",1,3,9,9
"PE",1,4,10,10
"PE",1,5,11,11
"PE",1,6,12,12
"PE",1,7,13,13
"PE",1,8,14,15
"PE",1,9,16,24
"PQ",1,1,1,8
"PQ",1,2,9,9
"PQ",1,3,10,10
"PQ",1,4,11,11
"PQ",1,5,12,12
"PQ",1,6,13,13
"PQ",1,7,14,14
"PQ",1,8,15,16
"PQ",1,9,17,34
"PQ",2,1,1,8
"PQ",2,2,9,9
"PQ",2,3,10,10
"PQ",2,4,11,11
"PQ",2,5,12,12
"PQ",2,6,13,13
"PQ",2,7,14,15
"PQ",2,8,16,37
"SK",1,1,1,5
"SK",1,2,6,6
"SK",1,3,7,7
"SK",1,4,8,8
"SK",1,5,9,9
"SK",1,6,10,10
"SK",1,7,11,11
"SK",1,8,12,12
"SK",1,9,13,24
"SK",2,1,1,3
"SK",2,2,4,4
"SK",2,3,5,5
"SK",2,4,6,6
"SK",2,5,7,7
"SK",2,6,8,8
"SK",2,7,9,9
"SK",2,8,10,10
"SK",2,9,11,21
"SK",3,1,1,5
"SK",3,2,6,6
"SK",3,3,7,7
"SK",3,4,8,8
"SK",3,5,9,9
"SK",3,6,10,10
"SK",3,7,11,11
"SK",3,8,12,12
"SK",3,9,13,13
"SK",3,10,14,23
