YEAR,NF,PE,NS,NB,QC,ON,MB,SK,AB,BC,NU,NT,YK,Comments,,
1975,0,0,0,0,6,5,8,8,10,25,0,25,25,,,
1976,0,0,0,0,6,10,8,8,10,25,0,25,25,,,
1977,0,0,0,0,6,10,8,8,10,10,0,25,25,,,
1978,0,0,0,0,6,10,8,10,10,10,0,25,25,,,
1979,0,0,0,0,6,10,8,10,10,10,0,25,25,,,
1980,0,0,0,0,6,10,8,10,10,10,0,25,25,,,
1981,0,0,0,0,6,10,8,10,10,10,0,25,25,,,
1982,0,0,0,0,6,10,8,10,10,10,0,25,25,,,
1983,0,0,0,0,6,10,8,10,10,10,0,25,25,,,
1984,0,0,0,0,6,10,8,10,10,10,0,25,25,,,
1985,0,0,0,0,6,10,8,10,10,10,0,25,25,,,
1986,0,0,0,0,6,10,8,10,10,10,0,25,25,,,
1987,0,0,0,0,6,10,8,10,10,10,0,25,25,,,
1988,0,0,0,0,6,10,8,10,10,10,0,25,25,,,
1989,0,0,0,0,6,10,8,10,10,10,0,25,25,,,
1990,0,0,0,0,6,10,8,10,10,10,0,25,25,,,
1991,0,0,0,0,6,10,8,10,10,10,0,25,25,,,
1992,0,0,0,0,2,10,8,10,10,10,0,25,25,,,
1993,0,0,0,0,2,10,8,10,10,10,0,25,25,,,
1994,0,0,0,0,2,10,8,10,10,10,0,25,25,,,
1995,0,0,0,0,2,10,8,10,10,10,0,25,25,,,
1996,0,0,0,0,2,10,8,10,10,10,0,25,25,,,
1997,0,0,0,0,4,10,8,10,10,10,0,25,25,,,
1998,0,0,0,0,4,10,8,10,10,10,0,25,25,,,
1999,0,0,0,0,4,10,8,10,10,10,25,25,25,,,
2000,0,0,0,0,4,10,8,10,10,10,25,25,25,"No bag limit found, assuming no change. ",,
2001,0,0,0,0,4,10,8,10,10,10,25,25,25,,,
2002,0,0,0,0,4,10,8,10,10,10,25,25,25,,,
2003,0,0,0,0,4,10,8,10,10,10,25,25,25,,,
2004,0,0,0,0,4,10,8,10,10,10,25,25,25,,,
2005,0,0,0,0,4,10,8,10,10,10,25,25,25,,,
2006,0,0,0,0,4,10,8,10,10,10,25,25,25,,,
2007,0,0,0,0,4,10,8,10,10,10,25,25,25,,,
2008,0,0,0,0,4,10,8,10,10,10,25,25,25,,,
2009,0,0,0,0,4,10,8,10,10,10,25,25,25,,,
2010,0,0,0,0,4,8,8,10,8,10,25,25,25,,,
2011,0,0,0,0,4,8,8,10,8,10,25,25,25,,,
2012,0,0,0,0,4,8,8,10,8,10,25,25,25,,,
2013,0,0,0,0,4,8,8,10,8,10,25,25,25,,,
2014,0,0,0,0,4,8,8,10,8,10,25,25,25,,,
2015,0,0,0,0,4,8,8,10,8,10,25,25,25,,,
2016,0,0,0,0,4,8,8,10,8,10,25,25,25,,,
2017,0,0,0,0,4,8,8,10,8,10,25,25,25,,,
2018,0,0,0,0,4,8,8,10,8,10,25,25,25,,,
2019,0,0,0,0,4,8,8,10,8,10,25,25,25,,,
