YEAR,NF,PE,NS,NB,QC,ON,MB,SK,AB,BC,NU,NT,YK
1975,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,0,0,0,0,0,0,0,0,0,0,0,0,0
1978,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,20,0,0,0,0,0,0,0,0,0,0,0,0
2002,20,0,0,0,0,0,0,0,0,0,0,0,0
2003,20,0,0,0,0,0,0,0,0,0,0,0,0
2004,20,0,0,0,0,0,0,0,0,0,0,0,0
2005,20,0,0,0,0,0,0,0,0,0,0,0,0
2006,20,0,0,0,0,0,0,0,0,0,0,0,0
2007,20,0,0,0,0,0,0,0,0,0,0,0,0
2008,20,0,0,0,0,0,0,0,0,0,0,0,0
2009,20,0,0,0,0,0,0,0,0,0,0,0,0
2010,20,0,0,0,0,0,0,0,0,0,0,0,0
2011,20,0,0,0,0,0,0,0,0,0,0,0,0
2012,20,0,0,0,0,0,0,0,0,0,0,0,0
2013,20,0,0,0,0,0,0,0,0,0,0,0,0
2014,20,0,0,0,0,0,0,0,0,0,0,0,0
2015,20,0,0,0,0,0,0,0,0,0,0,0,0
2016,20,0,0,0,0,0,0,0,0,0,0,0,0
2017,20,0,0,0,0,0,0,0,0,0,0,0,0
2018,20,0,0,0,0,0,0,0,0,0,0,0,0
2019,20,0,0,0,0,0,0,0,0,0,0,0,0
